,Antiguedad del negocio,¿Cuántos productos aproximadamente maneja en su tienda?,En promedio ¿cada cuanto realiza pedidos a sus proveedores o compra sus productos? (Use la cifra más cercana),¿Qué forma de pago permite a sus clientes?,"¿Ha participado en algún plan de colaboración con otras tiendas o empresas? 
(por ejemplo, esfuerzos conjuntos de marketing, compras al por mayor, servicios de entrega compartidos)",En los últimos seis meses ¿ha implementado alguna tecnología digital en su negocio?,"En caso de una respuesta afirmativa a la pregunta anterior, especifique los tipos de tecnología implementados",¿A través de cuáles de los siguientes medios se comunicas con los proveedores?,¿A través de cuáles de los siguientes medios recibes pedidos de los clientes?,¿Cuál es su grado de satisfacción con las soluciones tecnológicas que ha implantado en su tienda?,¿Consideran necesarias las iniciativas de los proveedores para ayudar a las tiendas a implantar soluciones tecnológicas de forma eficaz? ,¿Considera necesario el apoyo gubernamental para ayudar a las tiendas a implantar soluciones tecnológicas de forma eficaz? ,"¿Cuántos clientes, en promedio, recibe en un día entre semana?","¿Cuántos clientes, en promedio, recibe en un día del fin de semana?","En una escala de 1 a 10, ¿cómo evaluaría sus esfuerzos para reducir su impacto ambiental?"
77,Entre 3 y 5 años,1500,2 veces al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,No,No,Llamadas telefónicas,Visitas personales,Algo insatisfecho,No,No,45.0,35.0,2
78,Entre 1 y 3 años,1,1 vez cada 2 meses,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",Sí,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta","Visitas personales, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Llamadas telefónicas, Redes sociales (Facebook, Instagram, otros)",Muy satisfecho,No,Sí,4.0,2.0,7
79,Entre 0 y 6 meses,28,1 vez al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,Sí,"Redes sociales (Instagram, X, entre otras)",Llamadas telefónicas,Visitas personales,Muy satisfecho,Sí,Sí,50.0,30.0,6
80,Más de 5 años,120,1 vez a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",Sí,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea, Terminal para el pago con tarjeta","Mensajería instantánea (Whatsapp, telegram, otros)",Visitas personales,Muy satisfecho,Sí,No,25.0,25.0,9
81,Más de 5 años,3000,1 vez al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito",Sí,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Plataformas de pedidos en línea",Correo electrónico,"Mensajería instantánea (Whatsapp, Telegram, Google Chat), Redes sociales (Facebook, Instagram, otros)",Algo satisfecho,No,No,20.0,40.0,5
82,Más de 5 años,40,2 veces a la semana,Efectivo,No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Plataformas de pedidos en línea","Visitas personales, Llamadas telefónicas",Visitas personales,Muy insatisfecho,No,Sí,80.0,80.0,7
83,Más de 5 años,60,1 vez al mes,"Efectivo, Tarjeta de debito",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta","Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,No,No,50.0,30.0,6
84,Más de 5 años,500,1 vez a la semana,Efectivo,No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta","Visitas personales, Mensajería instantánea (Whatsapp, telegram, otros)",Visitas personales,Muy satisfecho,No,No,150.0,100.0,7
85,Más de 5 años,1,1 vez al mes,"Efectivo, Transferencia ",No,Sí,Implementación de software ,"Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, telegram, otros)","Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,Sí,Sí,50.0,100.0,3
86,Más de 5 años,45,2 veces a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",Mesas de dulces,Sí,Terminal para el pago con tarjeta,"Llamadas telefónicas, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Algo insatisfecho,No,No,50.0,50.0,9
87,Entre 0 y 6 meses,4,1 vez a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta",Correo electrónico,"Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,Sí,No,2.0,2.0,8
88,Más de 5 años,30,2 veces a la semana,"Efectivo, Tarjeta de crédito",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras)","Redes sociales (Facebook, Instagram, otros)",Visitas personales,Muy satisfecho,No,Sí,20.0,30.0,8
89,Más de 5 años,12,2 veces a la semana,Efectivo,Sí,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras)","Llamadas telefónicas, Mensajes de texto, Correo electrónico","Visitas personales, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Algo satisfecho,No,Sí,60.0,100.0,5
90,Más de 5 años,50,1 vez a la semana,Efectivo,No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras)","Llamadas telefónicas, Mensajes de texto, Mensajería instantánea (Whatsapp, telegram, otros)","Mensajes de texto, Correo electrónico, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Redes sociales (Facebook, Instagram, otros)",Algo satisfecho,Sí,Sí,60.0,30.0,9
91,Entre 0 y 6 meses,30,1 vez al día,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras)","Llamadas telefónicas, Mensajes de texto, Mensajería instantánea (Whatsapp, telegram, otros)",Visitas personales,Muy satisfecho,No,Sí,30.0,25.0,8
92,Entre 3 y 5 años,50,1 vez a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras)",Visitas personales,Visitas personales,Algo satisfecho,Sí,No,10.0,4.0,8
93,Más de 5 años,300,1 vez al día,"Efectivo, Tarjeta de debito, Tarjeta de crédito",Sí,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras)","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Algo satisfecho,Sí,Sí,5.0,8.0,8
94,Más de 5 años,300,2 veces al día,Efectivo,Sí,No,Ninguna,Visitas personales,Visitas personales,Muy insatisfecho,No,No,30.0,20.0,10
95,Entre 0 y 6 meses,40,4 veces a la semana ,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,Sí,Equipo digital ,"Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Llamadas telefónicas, Mensajes de texto",Muy satisfecho,No,No,35.0,35.0,5
96,Más de 5 años,20,1 vez a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,Sí,Terminal para el pago con tarjeta,"Visitas personales, Llamadas telefónicas","Visitas personales, Llamadas telefónicas, Software o plataformas compartidas",Algo insatisfecho,Sí,Sí,2.0,5.0,8
97,Entre 0 y 6 meses,500,2 veces a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,Sí,"Terminal para el pago con tarjeta, Inventario",Visitas personales,"Visitas personales, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Redes sociales (Facebook, Instagram, otros)",Muy satisfecho,No,No,20.0,35.0,6
98,Más de 5 años,2,1 vez al día,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,Sí,Contaduría ,Llamadas telefónicas,Visitas personales,Muy satisfecho,Sí,Sí,5.0,4.0,8
99,Entre 3 y 5 años,50,1 vez a la semana,Efectivo,Sí,No,Contaduría ,Visitas personales,"Visitas personales, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,Sí,Sí,20.0,30.0,3
100,Más de 5 años,3,No realiza pedidos,Efectivo,No,Sí,"Redes sociales (Instagram, X, entre otras)",Visitas personales,"Visitas personales, Llamadas telefónicas",Muy satisfecho,No,No,40.0,60.0,8
101,Más de 5 años,120,1 vez a la semana,Efectivo,No,No,"Redes sociales (Instagram, X, entre otras)",Visitas personales,"Visitas personales, Llamadas telefónicas",Algo satisfecho,No,No,50.0,30.0,8
102,Más de 5 años,10,1 vez al día,Efectivo,No,No,"Redes sociales (Instagram, X, entre otras)",Llamadas telefónicas,Visitas personales,Algo insatisfecho,No,No,15.0,1.0,9
103,Entre 0 y 6 meses,1,2 veces al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea, Terminal para el pago con tarjeta","Visitas personales, Correo electrónico","Visitas personales, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Redes sociales (Facebook, Instagram, otros)",Muy satisfecho,No,No,6.0,2.0,8
104,Entre 6 meses y un año,1000,1 vez a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea, Terminal para el pago con tarjeta","Visitas personales, Llamadas telefónicas, Mensajes de texto, Correo electrónico, Mensajería instantánea (Whatsapp, telegram, otros), Vídeollamada, Redes sociales (Facebook, Instagram, otros)","Visitas personales, Llamadas telefónicas, Mensajes de texto, Correo electrónico, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Vídeollamada, Redes sociales (Facebook, Instagram, otros)",Algo satisfecho,No,Sí,30.0,1.0,5
105,Más de 5 años,60,2 veces a la semana,Efectivo,No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea, Terminal para el pago con tarjeta","Llamadas telefónicas, Mensajería instantánea (Whatsapp, telegram, otros)",Visitas personales,Algo insatisfecho,No,No,200.0,200.0,1
106,Más de 5 años,60,4 veces al año,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea, Terminal para el pago con tarjeta","Llamadas telefónicas, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Páginas web",Algo satisfecho,No,Sí,6.0,10.0,8
107,Más de 5 años,140,5 veces por semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Terminal para el pago con tarjeta","Visitas personales, Llamadas telefónicas, Mensajes de texto, Correo electrónico, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Llamadas telefónicas, Mensajes de texto",Algo insatisfecho,Sí,Sí,150.0,150.0,1
108,Más de 5 años,8,1 vez al día,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,Sí,Plataformas de pedidos en línea,"Llamadas telefónicas, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Software o plataformas compartidas",Muy satisfecho,Sí,Sí,30.0,50.0,8
109,Entre 6 meses y un año,Prueba 1,1 vez al mes,"CoDi/Mercado Pago/Paypal/otras pasarelas de pago, ",Sí,Sí,Terminal para el pago con tarjeta,Mensajes de texto,Llamadas telefónicas,Algo insatisfecho,Sí,No,3.0,3.0,3
110,Entre 1 y 3 años,50,1 vez a la semana,Efectivo,No,No,No aplica,Visitas personales,Visitas personales,Muy insatisfecho,No,No han llegado,15.0,6.0,8
111,Entre 0 y 6 meses,22,2 veces a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,Sí,No aplica,"Visitas personales, Llamadas telefónicas","Visitas personales, Redes sociales (Facebook, Instagram, otros)",Algo satisfecho,No,Sí,60.0,30.0,7
112,Entre 1 y 3 años,6,1 vez al día,"Efectivo, Tarjeta de debito",No,Sí,Terminal para el pago con tarjeta,"Llamadas telefónicas, Mensajes de texto, Mensajería instantánea (Whatsapp, telegram, otros)","Llamadas telefónicas, Mensajes de texto, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Algo insatisfecho,No,No,30.0,40.0,1
113,Más de 5 años,3,1 vez al día,Efectivo,No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras)",Visitas personales,Visitas personales,Algo insatisfecho,No,No,30.0,25.0,8
114,Entre 3 y 5 años,1,No realiza pedidos,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,Sí,Terminal para el pago con tarjeta,"Llamadas telefónicas, Correo electrónico","Visitas personales, Llamadas telefónicas, Mensajes de texto",Muy satisfecho,Sí,No,10.0,1.0,8
115,Más de 5 años,2,2 veces al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",Sí,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Terminal para el pago con tarjeta","Visitas personales, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,Sí,No,17.0,1.0,8
116,Entre 3 y 5 años,1500,1 vez al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito",Sí,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Terminal para el pago con tarjeta","Llamadas telefónicas, Mensajes de texto, Correo electrónico","Visitas personales, Llamadas telefónicas, Mensajes de texto",Algo satisfecho,No,No,40.0,60.0,7
117,Más de 5 años,300,2 veces a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago, Transferencia",Sí,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea, Terminal para el pago con tarjeta","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, telegram, otros), Páginas web","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,Sí,Sí,3.0,2.0,7
118,Más de 5 años,5,1 vez al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea, Terminal para el pago con tarjeta","Visitas personales, Llamadas telefónicas, Correo electrónico, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Redes sociales (Facebook, Instagram, otros)",Algo satisfecho,No,Sí,10.0,20.0,5
119,Más de 5 años,1400,1 vez a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea, Terminal para el pago con tarjeta",Visitas personales,Visitas personales,Algo satisfecho,Sí,Sí,20.0,8.0,8
120,Entre 1 y 3 años,1000,2 veces al mes,"Efectivo, transferencia ",Sí,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea, Terminal para el pago con tarjeta","Visitas personales, Llamadas telefónicas, Mensajes de texto",Visitas personales,Algo satisfecho,Sí,No,15.0,1.0,5
121,Más de 5 años,50,2 veces a la semana,Efectivo,No,Sí,Terminal para el pago con tarjeta,"Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Algo satisfecho,No,No,200.0,39.9,7
122,Más de 5 años,30,No realiza pedidos,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",Sí,Sí,Terminal para el pago con tarjeta,Visitas personales,Visitas personales,Muy satisfecho,Sí,Sí,10.0,5.0,10
123,Entre 3 y 5 años,20,2 veces a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,Sí,Terminal para el pago con tarjeta,"Llamadas telefónicas, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,Sí,No,3.0,1.0,8
124,Entre 6 meses y un año,600,1 vez al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,No,Terminal para el pago con tarjeta,"Visitas personales, Correo electrónico, Mensajería instantánea (Whatsapp, telegram, otros), Redes sociales (Facebook, Instagram, otros), Páginas web","Visitas personales, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Redes sociales (Facebook, Instagram, otros), Software o plataformas compartidas",Muy satisfecho,No,Sí,3.0,4.0,7
125,Entre 1 y 3 años,150,No realiza pedidos,Efectivo,No,No,Terminal para el pago con tarjeta,Visitas personales,Visitas personales,Muy satisfecho,No tiene proveedores,Sí,10.0,10.0,5
126,Entre 1 y 3 años,4,1 vez a la semana,Efectivo,No,No,Terminal para el pago con tarjeta,Llamadas telefónicas,"Visitas personales, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,Sí,No,30.0,40.0,10
127,Más de 5 años,50,1 vez al mes,Efectivo,No,No,Terminal para el pago con tarjeta,Visitas personales,Visitas personales,Muy satisfecho,Sí,Sí,10.0,8.0,8
128,Más de 5 años,3,3 veces al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago, Transferencia ",Sí,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea, Terminal para el pago con tarjeta","Correo electrónico, Mensajería instantánea (Whatsapp, telegram, otros), Redes sociales (Facebook, Instagram, otros), Páginas web","Llamadas telefónicas, Correo electrónico, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,Sí,Sí,2.0,1.0,9
129,Entre 1 y 3 años,2,Diario ,"Efectivo, Transferencia ",No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea, Terminal para el pago con tarjeta",Visitas personales,"Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Algo insatisfecho,No,No,100.0,60.0,6
130,Entre 6 meses y un año,7,No sabe,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea, Terminal para el pago con tarjeta",Llamadas telefónicas,"Visitas personales, Llamadas telefónicas",Algo insatisfecho,No,Sí,18.0,10.0,7
